id,name,type1,type2,Japanese Kana
1,Bulbasaur,Grass,Poison,フシギダネ
2,Ivysaur,Grass,Poison,フシギソウ
3,Venusaur,Grass,Poison,フシギバナ
4,Charmander,Fire,,ヒトカゲ
5,Charmeleon,Fire,,リザード
6,Charizard,Fire,Dragon,リザードン
7,Squirtle,Water,,ゼニガメ
8,Wartortle,Water,,カメール
9,Blastoise,Water,Steel,カメックス
10,Caterpie,Bug,,キャタピー
11,Metapod,Bug,,トランセル
12,Butterfree,Bug,Flying,バタフリー
13,Weedle,Bug,Poison,ビードル
14,Kakuna,Bug,Poison,コクーン
15,Beedrill,Bug,Poison,スピアー
16,Pidgey,Normal,Flying,ポッポ
17,Pidgeotto,Normal,Flying,ピジョン
18,Pidgeot,Normal,Flying,ピジョット
19,Rattata,Normal,,コラッタ
20,Raticate,Normal,,ラッタ
21,Spearow,Normal,Flying,オニスズメ
22,Fearow,Normal,Flying,オニドリル
23,Ekans,Poison,,アーボ
24,Arbok,Poison,,アーボック
25,Pikachu,Electric,,ピカチュウ
26,Raichu,Electric,,ライチュウ
27,Sandshrew,Ground,,サンド
28,Sandslash,Ground,,サンドパン
29,Nidoran-F,Poison,,ニドラン♀
30,Nidorina,Poison,,ニドリーナ
31,Nidoqueen,Poison,Ground,ニドクイン
32,Nidoran-M,Poison,,ニドラン♂
33,Nidorino,Poison,,ニドリーノ
34,Nidoking,Poison,Ground,ニドキング
35,Clefairy,Fairy,,ピッピ
36,Clefable,Fairy,,ピクシー
37,Vulpix,Fire,,ロコン
38,Ninetales,Fire,Fairy,キュウコン
39,Jigglypuff,Normal,Fairy,プリン
40,Wigglytuff,Normal,Fairy,プクリン
41,Zubat,Poison,Flying,ズバット
42,Golbat,Poison,Flying,ゴルバット
43,Oddish,Grass,Poison,ナゾノクサ
44,Gloom,Grass,Poison,クサイハナ
45,Vileplume,Grass,Poison,ラフレシア
46,Paras,Bug,Grass,パラス
47,Parasect,Bug,Grass,パラセクト
48,Venonat,Bug,Poison,コンパン
49,Venomoth,Bug,Poison,モルフォン
50,Diglett,Ground,,ディグダ
51,Dugtrio,Ground,,ダグトリオ
52,Meowth,Normal,,ニャース
53,Persian,Normal,,ペルシアン
54,Psyduck,Water,,コダック
55,Golduck,Water,Psychic,ゴルダック
56,Mankey,Fighting,,マンキー
57,Primeape,Fighting,,オコリザル
58,Growlithe,Fire,,ガーディ
59,Arcanine,Fire,,ウインディ
60,Poliwag,Water,,ニョロモ
61,Poliwhirl,Water,,ニョロゾ
62,Poliwrath,Water,Fighting,ニョロボン
63,Abra,Psychic,,ケーシィ
64,Kadabra,Psychic,,ユンゲラー
65,Alakazam,Psychic,,フーディン
66,Machop,Fighting,,ワンリキー
67,Machoke,Fighting,,ゴーリキー
68,Machamp,Fighting,,カイリキー
69,Bellsprout,Grass,Poison,マダツボミ
70,Weepinbell,Grass,Poison,ウツドン
71,Victreebel,Grass,Poison,ウツボット
72,Tentacool,Water,Poison,メノクラゲ
73,Tentacruel,Water,Poison,ドククラゲ
74,Geodude,Rock,Ground,イシツブテ
75,Graveler,Rock,Ground,ゴローン
76,Golem,Rock,Ground,ゴローニャ
77,Ponyta,Fire,,ポニータ
78,Rapidash,Fire,,ギャロップ
79,Slowpoke,Water,Psychic,ヤドン
80,Slowbro,Water,Psychic,ヤドラン
81,Magnemite,Electric,Steel,コイル
82,Magneton,Electric,Steel,レアコイル
83,Farfetchâ€™d,Fighting,Flying,カモネギ
84,Doduo,Normal,Flying,ドードー
85,Dodrio,Normal,Flying,ドードリオ
86,Seel,Water,,パウワウ
87,Dewgong,Water,Ice,ジュゴン
88,Grimer,Poison,,ベトベター
89,Muk,Poison,,ベトベトン
90,Shellder,Water,,シェルダー
91,Cloyster,Water,Ice,パルシェン
92,Gastly,Ghost,Poison,ゴース
93,Haunter,Ghost,Poison,ゴースト
94,Gengar,Ghost,Poison,ゲンガー
95,Onix,Rock,Ground,イワーク
96,Drowzee,Psychic,,スリープ
97,Hypno,Psychic,,スリーパー
98,Krabby,Water,,クラブ
99,Kingler,Water,,キングラー
100,Voltorb,Electric,,ビリリダマ
101,Electrode,Electric,,マルマイン
102,Exeggcute,Grass,Psychic,タマタマ
103,Exeggutor,Grass,Psychic,ナッシー
104,Cubone,Ground,,カラカラ
105,Marowak,Ground,,ガラガラ
106,Hitmonlee,Fighting,,サワムラー
107,Hitmonchan,Fighting,,エビワラー
108,Lickitung,Normal,,ベロリンガ
109,Koffing,Poison,,ドガース
110,Weezing,Poison,,マタドガス
111,Rhyhorn,Ground,Rock,サイホーン
112,Rhydon,Ground,Rock,サイドン
113,Chansey,Normal,,ラッキー
114,Tangela,Grass,,モンジャラ
115,Kangaskhan,Normal,,ガルーラ
116,Horsea,Water,,タッツー
117,Seadra,Water,,シードラ
118,Goldeen,Water,,トサキント
119,Seaking,Water,,アズマオウ
120,Staryu,Water,,ヒトデマン
121,Starmie,Water,Psychic,スターミー
122,Mr. Mime,Psychic,Fairy,バリヤード
123,Scyther,Bug,Flying,ストライク
124,Jynx,Ice,Psychic,ルージュラ
125,Electabuzz,Electric,,エレブー
126,Magmar,Fire,,ブーバー
127,Pinsir,Bug,,カイロス
128,Tauros,Normal,,ケンタロス
129,Magikarp,Water,,コイキング
130,Gyarados,Water,Flying,ギャラドス
131,Lapras,Water,Ice,ラプラス
132,Ditto,Normal,,メタモン
133,Eevee,Normal,,イーブイ
134,Vaporeon,Water,,シャワーズ
135,Jolteon,Electric,,サンダース
136,Flareon,Fire,,ブースター
137,Porygon,Normal,,ポリゴン
138,Omanyte,Rock,Water,オムナイト
139,Omastar,Rock,Water,オムスター
140,Kabuto,Rock,Water,カブト
141,Kabutops,Rock,Water,カブトプス
142,Aerodactyl,Rock,Flying,プテラ
143,Snorlax,Normal,,カビゴン
144,Articuno,Ice,Flying,フリーザー
145,Zapdos,Electric,Flying,サンダー
146,Moltres,Fire,Flying,ファイヤー
147,Dratini,Dragon,,ミニリュウ
148,Dragonair,Dragon,,ハクリュー
149,Dragonite,Dragon,Flying,カイリュー
150,Mewtwo,Psychic,,ミュウツー
151,Mew,Psychic,,ミュウ
152,Chikorita,Grass,,チコリータ
153,Bayleef,Grass,,ベイリーフ
154,Meganium,Grass,Fairy,メガニウム
155,Cyndaquil,Fire,,ヒノアラシ
156,Quilava,Fire,,マグマラシ
157,Typhlosion,Fire,,バクフーン
158,Totodile,Water,,ワニノコ
159,Croconaw,Water,Dark,アリゲイツ
160,Feraligatr,Water,Dark,オーダイル
161,Sentret,Normal,,オタチ
162,Furret,Normal,,オオタチ
163,Hoothoot,Normal,Flying,ホーホー
164,Noctowl,Psychic,Flying,ヨルノズク
165,Ledyba,Bug,Fighting,レディバ
166,Ledian,Bug,Fighting,レディアン
167,Spinarak,Bug,Poison,イトマル
168,Ariados,Bug,Poison,アリアドス
169,Crobat,Poison,Flying,クロバット
170,Chinchou,Water,Electric,チョンチー
171,Lanturn,Water,Electric,ランターン
172,Pichu,Electric,,ピチュー
173,Cleffa,Fairy,,ピィ
174,Igglybuff,Normal,Fairy,ププリン
175,Togepi,Fairy,,トゲピー
176,Togetic,Fairy,Flying,トゲチック
177,Natu,Psychic,Flying,ネイティ
178,Xatu,Psychic,Flying,ネイティオ
179,Mareep,Electric,,メリープ
180,Flaaffy,Electric,,モココ
181,Ampharos,Electric,Dragon,デンリュウ
182,Bellossom,Grass,,キレイハナ
183,Marill,Water,Fairy,マリル
184,Azumarill,Water,Fairy,マリルリ
185,Sudowoodo,Rock,,ウソッキー
186,Politoed,Water,,ニョロトノ
187,Hoppip,Grass,Flying,ハネッコ
188,Skiploom,Grass,Flying,ポポッコ
189,Jumpluff,Grass,Flying,ワタッコ
190,Aipom,Normal,,エイパム
191,Sunkern,Grass,,ヒマナッツ
192,Sunflora,Grass,,キマワリ
193,Yanma,Bug,Flying,ヤンヤンマ
194,Wooper,Water,Ground,ウパー
195,Quagsire,Water,Ground,ヌオー
196,Espeon,Psychic,,エーフィ
197,Umbreon,Dark,,ブラッキー
198,Murkrow,Dark,Flying,ヤミカラス
199,Slowking,Water,Psychic,ヤドキング
200,Misdreavus,Ghost,Fairy,ムウマ
201,Unown,Psychic,,アンノーン
202,Wobbuffet,Psychic,,ソーナンス
203,Girafarig,Normal,Psychic,キリンリキ
204,Pineco,Bug,,クヌギダマ
205,Forretress,Bug,Steel,フォレトス
206,Dunsparce,Normal,Dragon,ノコッチ
207,Gligar,Ground,Flying,グライガー
208,Steelix,Steel,Ground,ハガネール
209,Snubbull,Fairy,,ブルー
210,Granbull,Fairy,,グランブル
211,Qwilfish,Water,Poison,ハリーセン
212,Scizor,Bug,Steel,ハッサム
213,Shuckle,Bug,Rock,ツボツボ
214,Heracross,Bug,Fighting,ヘラクロス
215,Sneasel,Dark,Ice,ニューラ
216,Teddiursa,Normal,,ヒメグマ
217,Ursaring,Ground,Normal,リングマ
218,Slugma,Fire,,マグマッグ
219,Magcargo,Fire,Rock,マグカルゴ
220,Swinub,Ice,Ground,ウリムー
221,Piloswine,Ice,Ground,イノムー
222,Corsola,Water,Rock,サニーゴ
223,Remoraid,Water,,テッポウオ
224,Octillery,Water,,オクタン
225,Delibird,Ice,Flying,デリバード
226,Mantine,Water,Flying,マンタイン
227,Skarmory,Steel,Flying,エアームド
228,Houndour,Dark,Fire,デルビル
229,Houndoom,Dark,Fire,ヘルガー
230,Kingdra,Water,Dragon,キングドラ
231,Phanpy,Ground,,ゴマゾウ
232,Donphan,Ground,,ドンファン
233,Porygon2,Normal,,ポリゴン２
234,Stantler,Normal,,オドシシ
235,Smeargle,Normal,,ドーブル
236,Tyrogue,Fighting,,バルキー
237,Hitmontop,Fighting,,カポエラー
238,Smoochum,Ice,Psychic,ムチュール
239,Elekid,Electric,,エレキッド
240,Magby,Fire,,ブビィ
241,Miltank,Normal,,ミルタンク
242,Blissey,Normal,,ハピナス
243,Raikou,Electric,,ライコウ
244,Entei,Fire,,エンテイ
245,Suicune,Water,,スイクン
246,Larvitar,Rock,Ground,ヨーギラス
247,Pupitar,Rock,Ground,サナギラス
248,Tyranitar,Rock,Dark,バンギラス
249,Lugia,Psychic,Flying,ルギア
250,Ho-Oh,Fire,Flying,ホウオウ
251,Celebi,Psychic,Grass,セレビィ
252,Treecko,Grass,,キモリ
253,Grovyle,Grass,,ジュプトル
254,Sceptile,Grass,Dragon,ジュカイン
255,Torchic,Fire,,アチャモ
256,Combusken,Fire,Fighting,ワカシャモ
257,Blaziken,Fire,Fighting,バシャーモ
258,Mudkip,Water,,ミズゴロウ
259,Marshtomp,Water,Ground,ヌマクロー
260,Swampert,Water,Ground,ラグラージ
261,Poochyena,Dark,,ポチエナ
262,Mightyena,Dark,,グラエナ
263,Zigzagoon,Normal,,ジグザグマ
264,Linoone,Normal,,マッスグマ
265,Wurmple,Bug,,ケムッソ
266,Silcoon,Bug,,カラサリス
267,Beautifly,Bug,Flying,アゲハント
268,Cascoon,Bug,,マユルド
269,Dustox,Bug,Poison,ドクケイル
270,Lotad,Water,Grass,ハスボー
271,Lombre,Water,Grass,ハスブレロ
272,Ludicolo,Water,Grass,ルンパッパ
273,Seedot,Grass,,タネボー
274,Nuzleaf,Grass,Dark,コノハナ
275,Shiftry,Grass,Dark,ダーテング
276,Taillow,Normal,Flying,スバメ
277,Swellow,Normal,Flying,オオスバメ
278,Wingull,Water,Flying,キャモメ
279,Pelipper,Water,Flying,ペリッパー
280,Ralts,Psychic,Fairy,ラルトス
281,Kirlia,Psychic,Fairy,キルリア
282,Gardevoir,Psychic,Fairy,サーナイト
283,Surskit,Bug,Water,アメタマ
284,Masquerain,Bug,Water,アメモース
285,Shroomish,Grass,,キノココ
286,Breloom,Grass,Fighting,キノガッサ
287,Slakoth,Normal,,ナマケロ
288,Vigoroth,Normal,,ヤルキモノ
289,Slaking,Normal,,ケッキング
